ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1586934000,15/04/2020,103.971,
1587020400,16/04/2020,102.709,
1587106800,17/04/2020,102.533,
1587366000,20/04/2020,102.041,
1587452400,21/04/2020,101.571,
1587538800,22/04/2020,100.206,
1587625200,23/04/2020,99.175003,
1587711600,24/04/2020,98.252998,
1587970800,27/04/2020,95.455002,
1588057200,28/04/2020,95.176003,
1588143600,29/04/2020,97.069,
1588230000,30/04/2020,98.720001,
1588575600,04/05/2020,100.084,
1588662000,05/05/2020,99.455002,
1588748400,06/05/2020,99.311996,
1588834800,07/05/2020,98.749001,
1588921200,08/05/2020,99.391998,
1589180400,11/05/2020,100.206,
1589266800,12/05/2020,100.463,
1589353200,13/05/2020,100.114,
1589439600,14/05/2020,98.098999,
1589526000,15/05/2020,98.125,
1589785200,18/05/2020,98.439003,
1589871600,19/05/2020,98.856003,
1589958000,20/05/2020,98.831001,
1590044400,21/05/2020,100.432,
1590130800,22/05/2020,101.633,
1590390000,25/05/2020,101.309,
1590476400,26/05/2020,101.81,
1590562800,27/05/2020,103.012,
1590649200,28/05/2020,103.133,
1590735600,29/05/2020,103.055,
1590994800,01/06/2020,102.883,
1591081200,02/06/2020,103.185,
1591167600,03/06/2020,104.204,
1591254000,04/06/2020,105.057,
1591340400,05/06/2020,104.678,
1591599600,08/06/2020,105.082,
1591686000,09/06/2020,105.274,
1591772400,10/06/2020,104.794,
1591858800,11/06/2020,104.613,
1591945200,12/06/2020,102.167,
1592204400,15/06/2020,102.444,
1592290800,16/06/2020,102.353,
1592377200,17/06/2020,103.427,
1592463600,18/06/2020,103.089,
1592550000,19/06/2020,102.623,
1592809200,22/06/2020,102.937,
1592895600,23/06/2020,102.909,
1592982000,24/06/2020,103.245,
1593068400,25/06/2020,102.926,
1593154800,26/06/2020,102.979,
1593414000,29/06/2020,102.804,
1593500400,30/06/2020,102.784,
1593586800,01/07/2020,103.073,
1593673200,02/07/2020,104.125,
1593759600,03/07/2020,104.311,
1594018800,06/07/2020,104.446,
1594105200,07/07/2020,104.197,
1594191600,08/07/2020,103.949,
1594278000,09/07/2020,104.15,
1594364400,10/07/2020,103.973,
1594623600,13/07/2020,104.12,
1594710000,14/07/2020,104.196,
1594796400,15/07/2020,103.991,
1594882800,16/07/2020,104.461,
1594969200,17/07/2020,105.051,
1595228400,20/07/2020,105.444,
1595314800,21/07/2020,106.109,
1595401200,22/07/2020,106.562,
1595487600,23/07/2020,107.101,
