ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1644220800,07/02/2022,100.005,
1644307200,08/02/2022,99.996002,
1644393600,09/02/2022,100.055,
1644480000,10/02/2022,100.013,
1644566400,11/02/2022,99.449997,
1644825600,14/02/2022,99.181,
1644912000,15/02/2022,99.079002,
1644998400,16/02/2022,99.183998,
1645084800,17/02/2022,99.282997,
1645171200,18/02/2022,99.278999,
1645430400,21/02/2022,99.337997,
1645516800,22/02/2022,99.292,
1645603200,23/02/2022,99.171997,
1645689600,24/02/2022,98.700996,
1645776000,25/02/2022,99.157997,
1646035200,28/02/2022,99.235001,
1646121600,01/03/2022,99.740997,
1646208000,02/03/2022,99.714996,
1646294400,03/03/2022,99.541,
1646380800,04/03/2022,99.552002,
1646640000,07/03/2022,99.259003,
1646726400,08/03/2022,99.231003,
1646812800,09/03/2022,99.176003,
1646899200,10/03/2022,99.245003,
1646985600,11/03/2022,99.211998,
1647244800,14/03/2022,98.974998,
1647331200,15/03/2022,98.676003,
1647417600,16/03/2022,98.967003,
1647504000,17/03/2022,98.957001,
1647590400,18/03/2022,98.997002,
1647849600,21/03/2022,99.011002,
1647936000,22/03/2022,98.497002,
1648022400,23/03/2022,98.265999,
1648108800,24/03/2022,98.238998,
1648195200,25/03/2022,98.296997,
1648450800,28/03/2022,98.223,
1648537200,29/03/2022,98.024002,
1648623600,30/03/2022,98.188004,
1648710000,31/03/2022,98.255997,
1649055600,04/04/2022,98.008003,
1649142000,05/04/2022,97.980003,
1649228400,06/04/2022,97.535004,
1649314800,07/04/2022,97.525002,
1649401200,08/04/2022,97.388,
1649660400,11/04/2022,97.135002,
1649746800,12/04/2022,96.813004,
1649833200,13/04/2022,96.93,
1649919600,14/04/2022,97.219002,
1650351600,19/04/2022,96.934998,
1650438000,20/04/2022,96.851997,
1650524400,21/04/2022,96.899002,
1650610800,22/04/2022,96.598999,
1650870000,25/04/2022,96.403999,
1650956400,26/04/2022,96.697998,
1651042800,27/04/2022,96.557999,
1651129200,28/04/2022,96.455002,
1651215600,29/04/2022,96.100998,
1651474800,02/05/2022,95.892998,
