ISIN,US105756CC23,,
Coupon,3.875,,
Maturity,10 years,,
Start,2020,End,2030
,,,
time,date,close,
1634022000,12/10/2021,96.596001,
1634108400,13/10/2021,96.533997,
1634194800,14/10/2021,96.695999,
1634281200,15/10/2021,97.094002,
1634540400,18/10/2021,96.913002,
1634626800,19/10/2021,96.963997,
1634713200,20/10/2021,96.221001,
1634799600,21/10/2021,95.228996,
1634886000,22/10/2021,94.513,
1635145200,25/10/2021,94.566002,
1635231600,26/10/2021,95.113998,
1635318000,27/10/2021,95.209,
1635404400,28/10/2021,95.210999,
1635490800,29/10/2021,94.481003,
1635753600,01/11/2021,93.439003,
1635840000,02/11/2021,93.125,
1635926400,03/11/2021,93.115997,
1636012800,04/11/2021,94.237999,
1636099200,05/11/2021,94.651001,
1636358400,08/11/2021,95.077003,
1636444800,09/11/2021,95.350998,
1636531200,10/11/2021,95.394997,
1636617600,11/11/2021,95.083,
1636704000,12/11/2021,94.956001,
1636963200,15/11/2021,94.885002,
1637049600,16/11/2021,94.728996,
1637136000,17/11/2021,94.610001,
1637222400,18/11/2021,94.671997,
1637308800,19/11/2021,94.822998,
1637568000,22/11/2021,94.828003,
1637654400,23/11/2021,93.972,
1637740800,24/11/2021,93.707001,
1637827200,25/11/2021,93.695999,
1637913600,26/11/2021,93.255997,
1638172800,29/11/2021,93.181,
1638259200,30/11/2021,93.806,
1638345600,01/12/2021,94.720001,
1638432000,02/12/2021,94.933998,
1638518400,03/12/2021,95.579002,
1638777600,06/12/2021,95.583,
1638864000,07/12/2021,95.753998,
1638950400,08/12/2021,96.195,
1639036800,09/12/2021,95.959999,
1639123200,10/12/2021,95.677002,
1639382400,13/12/2021,95.738998,
1639468800,14/12/2021,95.847,
1639555200,15/12/2021,95.718002,
1639641600,16/12/2021,95.557999,
1639728000,17/12/2021,95.710999,
1639987200,20/12/2021,95.661003,
1640073600,21/12/2021,95.863998,
1640160000,22/12/2021,96.167,
1640246400,23/12/2021,96.241997,
1640332800,24/12/2021,96.612999,
1640592000,27/12/2021,96.444,
1640678400,28/12/2021,96.788002,
1640764800,29/12/2021,97.084999,
1640851200,30/12/2021,97.021004,
1640937600,31/12/2021,97.216003,
1641196800,03/01/2022,97.330002,
1641283200,04/01/2022,96.366997,
1641369600,05/01/2022,96.068001,
1641456000,06/01/2022,94.575996,
1641542400,07/01/2022,94.678001,
1641801600,10/01/2022,94.003998,
1641888000,11/01/2022,94.445999,
1642060800,13/01/2022,94.528999,
1642147200,14/01/2022,94.375999,
1642406400,17/01/2022,94.158997,
1642492800,18/01/2022,93.819,
1642579200,19/01/2022,93.747002,
1642665600,20/01/2022,94.125999,
1642752000,21/01/2022,94.431,
1643011200,24/01/2022,94.574997,
1643097600,25/01/2022,94.352997,
1643184000,26/01/2022,94.537003,
1643270400,27/01/2022,94.305,
1643356800,28/01/2022,94.230003,
1643616000,31/01/2022,94.257004,
1643702400,01/02/2022,94.315002,
1643788800,02/02/2022,94.644997,
1643875200,03/02/2022,95.230003,
1643961600,04/02/2022,94.891998,
1644220800,07/02/2022,94.003998,
1644307200,08/02/2022,94.181,
1644393600,09/02/2022,94.570999,
1644480000,10/02/2022,94.357002,
1644566400,11/02/2022,93.485001,
1644825600,14/02/2022,93.044998,
1644912000,15/02/2022,92.624001,
1644998400,16/02/2022,92.710999,
1645084800,17/02/2022,92.771004,
1645171200,18/02/2022,92.722,
1645430400,21/02/2022,92.707001,
1645516800,22/02/2022,92.632004,
1645603200,23/02/2022,92.469002,
1645689600,24/02/2022,91.132004,
1645776000,25/02/2022,92.939003,
1646035200,28/02/2022,92.916,
1646121600,01/03/2022,93.698997,
1646208000,02/03/2022,93.806,
1646294400,03/03/2022,93.342003,
1646380800,04/03/2022,93.491997,
1646640000,07/03/2022,92.511002,
1646726400,08/03/2022,92.252998,
1646812800,09/03/2022,92.236,
1646899200,10/03/2022,92.592003,
1646985600,11/03/2022,92.371002,
1647244800,14/03/2022,91.834,
1647331200,15/03/2022,91.095001,
1647417600,16/03/2022,91.774002,
1647504000,17/03/2022,91.885002,
1647590400,18/03/2022,92.360001,
1647849600,21/03/2022,92.460999,
1647936000,22/03/2022,91.978996,
1648022400,23/03/2022,91.149002,
1648108800,24/03/2022,91.411003,
1648195200,25/03/2022,91.639,
1648450800,28/03/2022,91.403999,
1648537200,29/03/2022,91.362,
1648623600,30/03/2022,91.861,
1648710000,31/03/2022,92.450996,
1648796400,01/04/2022,92.475998,
1649055600,04/04/2022,92.195,
1649142000,05/04/2022,92.079002,
1649228400,06/04/2022,90.984001,
1649314800,07/04/2022,91.109001,
1649401200,08/04/2022,90.848,
1649660400,11/04/2022,90.193001,
1649746800,12/04/2022,89.291,
1649833200,13/04/2022,89.552002,
1649919600,14/04/2022,90.491997,
1650351600,19/04/2022,90.163002,
1650438000,20/04/2022,90.142998,
1650524400,21/04/2022,90.346001,
1650610800,22/04/2022,89.835999,
1650870000,25/04/2022,89.251999,
1650956400,26/04/2022,90.589996,
1651042800,27/04/2022,90.306999,
1651129200,28/04/2022,89.788002,
1651215600,29/04/2022,89.237,
1651474800,02/05/2022,88.314003,
1651561200,03/05/2022,88.300003,
1651647600,04/05/2022,88.570999,
1651734000,05/05/2022,89.294998,
1651820400,06/05/2022,88.222,
1652079600,09/05/2022,86.956001,
1652166000,10/05/2022,87.200996,
1652252400,11/05/2022,87.651001,
1652338800,12/05/2022,88.014,
1652425200,13/05/2022,87.806,
1652684400,16/05/2022,87.778999,
1652770800,17/05/2022,87.749001,
1652857200,18/05/2022,87.151001,
1652943600,19/05/2022,87.399002,
1653030000,20/05/2022,87.661003,
1653289200,23/05/2022,87.831001,
1653375600,24/05/2022,87.741997,
1653462000,25/05/2022,88.379997,
1653548400,26/05/2022,89.742996,
1653634800,27/05/2022,89.892998,
1653894000,30/05/2022,90.216003,
1653980400,31/05/2022,90.045998,
1654066800,01/06/2022,89.586998,
1654153200,02/06/2022,89.177002,
1654239600,03/06/2022,88.889999,
1654498800,06/06/2022,88.375,
1654585200,07/06/2022,87.626999,
1654671600,08/06/2022,87.793999,
1654758000,09/06/2022,87.427002,
1654844400,10/06/2022,86.864998,
1655103600,13/06/2022,84.139999,
1655190000,14/06/2022,83.689003,
1655276400,15/06/2022,83.598999,
1655362800,16/06/2022,83.378998,
1655449200,17/06/2022,84.098,
1655708400,20/06/2022,83.894997,
1655794800,21/06/2022,83.694,
1655881200,22/06/2022,83.861,
1655967600,23/06/2022,84.418999,
1656054000,24/06/2022,84.749001,
1656313200,27/06/2022,84.744003,
1656399600,28/06/2022,84.387001,
1656486000,29/06/2022,83.684998,
1656572400,30/06/2022,83.894997,
1656658800,01/07/2022,84.265999,
1656918000,04/07/2022,84.942001,
1657004400,05/07/2022,84.858002,
1657090800,06/07/2022,85.029999,
1657177200,07/07/2022,85.075996,
1657263600,08/07/2022,85.181999,
1657522800,11/07/2022,84.803001,
1657609200,12/07/2022,84.544998,
1657695600,13/07/2022,83.695999,
1657782000,14/07/2022,84.010002,
1657868400,15/07/2022,83.661003,
1658127600,18/07/2022,84.078003,
1658214000,19/07/2022,84.323997,
1658300400,20/07/2022,85.434998,
1658386800,21/07/2022,86.417,
1658473200,22/07/2022,87.102997,
1658732400,25/07/2022,87.727997,
1658818800,26/07/2022,87.969002,
1658905200,27/07/2022,87.568001,
1658991600,28/07/2022,88.139,
1659078000,29/07/2022,89.737999,
1659337200,01/08/2022,90.225998,
1659423600,02/08/2022,90.171997,
1659510000,03/08/2022,88.920998,
1659596400,04/08/2022,90.029999,
1659682800,05/08/2022,89.431999,
1659942000,08/08/2022,89.414001,
1660028400,09/08/2022,89.697998,
1660114800,10/08/2022,88.724998,
1660201200,11/08/2022,89.914001,
1660287600,12/08/2022,89.773003,
1660546800,15/08/2022,89.968002,
1660633200,16/08/2022,90.115997,
1660719600,17/08/2022,88.824997,
1660806000,18/08/2022,89.053001,
1660892400,19/08/2022,88.587997,
1661151600,22/08/2022,87.458,
1661238000,23/08/2022,87.367996,
1661324400,24/08/2022,87.769997,
1661410800,25/08/2022,87.981003,
1661497200,26/08/2022,88.241997,
1661756400,29/08/2022,87.205002,
1661842800,30/08/2022,87.620003,
